columns,importance
trackers,0.0594640655653718
companies,0.05435727624056442
hosts,0.04478796454718216
font,0.03979490548660575
iframe,0.03967177482823029
content_length,0.038397740058215876
beacon,0.03816679910979404
bad_qs,0.03788146240944563
requests_failed,0.03762881908396583
requests_tracking,0.037215309526222644
cookie_samesite_none,0.03710889252745784
requests,0.03462560025756364
xhr,0.03404984652103998
referer_leaked_url,0.03279411937891763
stylesheet,0.03246678692280866
tracked,0.03154007058490525
image,0.03153791214287196
media,0.031145252842487165
referer_leaked,0.03096634015036405
cookies,0.030889093887018583
referer_leaked_header,0.03084497864090102
has_blocking,0.028881835519134133
script,0.028455074468113527
t_active,0.027457130372580497
popularity,0.026158153508546497
https,0.024342636519182954
plugin,0.009989353076851965
category_News and Portals,0.009875142329881476
category_Business,0.00968140291770238
category_Entertainment,0.008693773475822349
category_Uncategorized,0.006744789932699321
category_E-Commerce,0.0058790050118402125
category_Reference,0.0056018527633401784
category_Adult,0.00475154519549767
us,0.0036155233848396582
fr,0.0032927705081777715
de,0.003223061668544059
eu,0.0021073319913366955
category_Recreation,0.0020224126091880853
global,0.001543947978274125
category_Banking,0.00145479647670507
category_Government,0.0007907201981037089
category_Entertainment ,4.713887906690871e-05
category_Political,2.1183357027472084e-05
category_E-Commerce ,1.7820427135390207e-05
category_Adult ,6.987020583541722e-06
category_E-commerce,4.866623450160945e-06
category_Health,4.7330744400232156e-06
